station,variable,index,mic,p_value_perm,pearson_r,NL_statistic
Edirne,Wheat,AO,0.10817041659455108,0.16583416583416583,-0.31870306507431034,0.006598772906790992
Edirne,Wheat,NAO,0.11981863678781089,0.11688311688311688,-0.27556592671270697,0.043882056822777904
Edirne,Wheat,PNA,0.12810697263737406,0.11988011988011989,0.0865195025273893,0.12062134831978713
Edirne,Wheat,ENSO,0.04245626698193702,0.7932067932067932,0.012598312350269867,0.042297549507862055
Edirne,Sunflower,AO,0.07445229015614697,0.44255744255744256,-0.14481979781441515,0.05347951631713889
Edirne,Sunflower,NAO,0.05893597061998999,0.6203796203796204,-0.18627797434610444,0.024236486893502045
Edirne,Sunflower,PNA,0.06287004001026748,0.5824175824175825,0.09107244343303587,0.054575850057403966
Edirne,Sunflower,ENSO,0.042456266981937024,0.8061938061938062,-0.014593931511390502,0.04224328414497787
Kırklareli,Wheat,AO,0.12810697263737417,0.09290709290709291,-0.2446016642428748,0.06827699848699012
Kırklareli,Wheat,NAO,0.11176613944827198,0.17382617382617382,-0.12624381239385774,0.09582863928053642
Kırklareli,Wheat,PNA,0.14332336762081693,0.07692307692307693,-0.0642685123065357,0.1391929259467216
Kırklareli,Wheat,ENSO,0.07445229015614697,0.4725274725274725,-0.04391878954969018,0.072523430080637
Kırklareli,Sunflower,AO,0.16303350238698558,0.03196803196803197,-0.25190408804183684,0.0995778328147961
Kırklareli,Sunflower,NAO,0.10488550744078878,0.20679320679320679,-0.08858235520483801,0.0970386737871527
Kırklareli,Sunflower,PNA,0.16182509907577805,0.030969030969030968,0.22050094654078642,0.1132044316503953
Kırklareli,Sunflower,ENSO,0.17132183823654873,0.030969030969030968,0.09904746935233914,0.16151143705144616
Lüleburgaz,Wheat,AO,0.11072967938807225,0.15184815184815184,-0.24491172937061503,0.05074792420476688
Lüleburgaz,Wheat,NAO,0.09079312334524917,0.2997002997002997,-0.24089090756066134,0.03276469399985008
Lüleburgaz,Wheat,PNA,0.055469268055271304,0.7062937062937062,-0.17960709738140254,0.023210558625498687
Lüleburgaz,Wheat,ENSO,0.056166609291964695,0.7062937062937062,-0.11204292996462008,0.04361299113690793
Lüleburgaz,Sunflower,AO,0.03406896539401062,0.932067932067932,0.06340595295179353,0.030048650524285566
Lüleburgaz,Sunflower,NAO,0.06536333275640832,0.5414585414585414,0.056935549565151906,0.06212167595212245
Lüleburgaz,Sunflower,PNA,0.09079312334524904,0.3166833166833167,-0.02294958955083665,0.09026643968469716
Lüleburgaz,Sunflower,ENSO,0.03268166637820416,0.922077922077922,-0.036078009036664076,0.03138004364215455
Uzunköprü,Wheat,AO,0.06616395430658381,0.5334665334665335,-0.3192634961087613,-0.03576522564100523
Uzunköprü,Wheat,NAO,0.10488550744078884,0.19080919080919082,-0.28641526439421616,0.022851803762780093
Uzunköprü,Wheat,PNA,0.06616395430658381,0.5244755244755245,-0.0030146285303453086,0.06615486632140784
Uzunköprü,Wheat,ENSO,0.056166609291964695,0.7182817182817183,-0.09634562582466201,0.04688412967641892
Uzunköprü,Sunflower,AO,0.11176613944827196,0.16883116883116883,-0.06531271643614939,0.1075003885200031
Uzunköprü,Sunflower,NAO,0.07532495027685003,0.4045954045954046,-0.11071993117769408,0.06306604711685672
Uzunköprü,Sunflower,PNA,0.10267718204853334,0.22877122877122877,-0.005579372677881438,0.10264605264905464
Uzunköprü,Sunflower,ENSO,0.04395462974967254,0.7962037962037962,-0.006434082965963042,0.04391323232605965
İpsala,Wheat,AO,0.13360020718339177,0.08391608391608392,-0.3552016438800102,0.007431999368330194
İpsala,Wheat,NAO,0.09456774190356909,0.24075924075924077,-0.3375973908224809,-0.019404256386577834
İpsala,Wheat,PNA,0.09800846115546075,0.24575424575424576,0.07153890041208794,0.09289064688329011
İpsala,Wheat,ENSO,0.03268166637820416,0.9270729270729271,0.09967041565675396,0.022747474621014056
İpsala,Sunflower,AO,0.04540152289710377,0.7982017982017982,-0.08936282357563935,0.03741580865969293
İpsala,Sunflower,NAO,0.0661639543065838,0.5204795204795205,-0.1975503594325425,0.02713780979465706
İpsala,Sunflower,PNA,0.11981863678781078,0.12187812187812187,0.03307760861055994,0.1187245085964174
İpsala,Sunflower,ENSO,0.06616395430658381,0.5304695304695305,-0.001055458732481763,0.06616284031344784
Çorlu,Wheat,AO,0.08328381303859805,0.3856143856143856,-0.31512234648149023,-0.016018280213402333
Çorlu,Wheat,NAO,0.10817041659455107,0.18681318681318682,-0.3118863468787412,0.010897323225184566
Çorlu,Wheat,PNA,0.07395997975995154,0.4565434565434565,-0.14162376353591807,0.0539026893618739
Çorlu,Wheat,ENSO,0.14444780582647612,0.053946053946053944,-0.0769117997289765,0.13853238088892594
Çorlu,Sunflower,AO,0.055376785745420994,0.7182817182817183,0.035900147840922665,0.05408796513042089
Çorlu,Sunflower,NAO,0.09438884619897006,0.2987012987012987,-0.048479118340179414,0.09203862128392894
Çorlu,Sunflower,PNA,0.09988208074498778,0.22777222777222778,0.08967144366091942,0.09184111293675433
Çorlu,Sunflower,ENSO,0.06287004001026748,0.5614385614385614,0.015079644291263149,0.06264264433831646
Tekirdağ,Wheat,AO,0.12253171200217156,0.1258741258741259,-0.39272923045060987,-0.031704536448156684
Tekirdağ,Wheat,NAO,0.0661639543065838,0.5154845154845155,-0.31305245153372036,-0.03183788310468853
Tekirdağ,Wheat,PNA,0.047406077003343934,0.7682317682317682,-0.0732100525678938,0.04204636520635016
Tekirdağ,Wheat,ENSO,0.10817041659455094,0.2077922077922078,0.07837872941288632,0.1020271913701725
Tekirdağ,Sunflower,AO,0.10817041659455094,0.1918081918081918,0.04946717123009004,0.10572341556504389
Tekirdağ,Sunflower,NAO,0.09438884619897014,0.2727272727272727,0.15477702571153693,0.07043291851086038
Tekirdağ,Sunflower,PNA,0.0653633327564083,0.5554445554445554,-0.12466781387497365,0.04982126894004322
Tekirdağ,Sunflower,ENSO,0.11117215125550549,0.14985014985014986,0.11316268422188294,0.09836635815520389
Sarıyer,Wheat,AO,0.08354124755588574,0.3246753246753247,-0.3578151784927824,-0.04449045440393598
Sarıyer,Wheat,NAO,0.17132183823654884,0.028971028971028972,-0.29863289771056223,0.08214023064154172
Sarıyer,Wheat,PNA,0.03927082779425497,0.8751248751248751,0.04754413061532711,0.037010383438287685
Sarıyer,Wheat,ENSO,0.05811145696704499,0.6313686313686314,0.07349650658814261,0.0527097204863841
Sarıyer,Sunflower,AO,0.03406896539401062,0.9230769230769231,-0.09967977604572781,0.024132907641484173
Sarıyer,Sunflower,NAO,0.058111456967044894,0.6523476523476524,0.028295662556301806,0.057310812447544796
Sarıyer,Sunflower,PNA,0.05204662696593632,0.7352647352647352,-0.005921047370469968,0.052011568163972975
Sarıyer,Sunflower,ENSO,0.09988208074498779,0.21178821178821178,0.2720120401328171,0.025891530767770496
